"","id","fire_name","fire_year","spsm_dc","spsm_ffmc","spsm_dmc","spsm_isi","spsm_bui","spsm_fwi","area_ha","area_m2","prov","defoliated","tsd","cumltve_yrs","rbr_cv","rbr_extreme","rbr_median","slope10","slope1","slope2","pre_fire_temp","pre_fire_precip","post_fire_temp","post_fire_precip"
"39",24,"THU144_2006_1638",2006,300.875907621707,84.2721025134283,3.15218045522801,2.27781042060842,5.85464059920518,3.19912475128307,1764.4634,17644633.515,"ON",1,10,5,0.633487603143109,554.037995663782,258.03916825581,4.19567072162846,12.6217354274116,2.36029304447543,11.8,3984.378,11.82,3984.378
"40",61,"THU144_2006_1638",2006,300.875907621707,84.2721025134283,3.15218045522801,2.27781042060842,5.85464059920518,3.19912475128307,1139.6447,11396446.7531,"ON",0,0,0,0.67674100701292,565.99644627531,238.007086254611,4.32246832874298,10.4179226117626,1.04612266531741,11.72,3976.669,11.74,3976.669
"41",25,"PEM4_1999_1091",1999,338.059202887659,84.5975644821642,4.38581977615612,2.32763616241811,7.34909844131101,4.08273025170665,463.7176,4637175.6691,"ON",1,11,5,0.377764614359246,333.769901727289,230.074961149076,0.510177748274611,-3.82295832019792,-0.250896958879901,14.4,4436.1674,14.48,4436.1674
"42",54,"PEM4_1999_1091",1999,338.059202887659,84.5975644821642,4.38581977615612,2.32763616241811,7.34909844131101,4.08273025170665,941.3839,9413838.9364,"ON",0,0,0,0.46015160198579,322.051753394796,221.977672507191,0.754802628679605,-2.38903013205253,-1.68952789396013,14.4,4436.1674,14.48,4436.1674
"43",26,"PEM8_1999_1450",1999,336.655845808878,84.6567257821329,4.33064465500253,2.3540852279327,7.2411575216595,4.03804334476554,674.546,6745459.6044,"ON",1,11,5,0.831154383140946,373.914644797802,137.859786503726,1.17284752719125,1.71349932259972,-1.93923775481111,14.24,4444.5664,14.33,4444.5664
"44",55,"PEM8_1999_1450",1999,336.655845808878,84.6567257821329,4.33064465500253,2.3540852279327,7.2411575216595,4.03804334476554,164.3759,1643759.338,"ON",0,0,0,0.436530854504914,337.896097206751,205.976194362097,3.34970260671897,3.30585199560444,-1.57006081190698,14.4,4436.1674,14.48,4436.1674
"45",27,"THU37_2007_1662",2007,311.721850450878,84.4041916083546,2.67506800710759,2.36705791718206,4.818230236962,2.57309519427918,8873.8499,88738498.9606,"ON",1,13,3,0.702655498903833,411.977208123318,211.96638236331,3.24727900191891,0.589761407226496,3.46443228223314,12.71,4976.0264,12.59,4976.0264
"46",63,"THU37_2007_1662",2007,311.721850450878,84.4041916083546,2.67506800710759,2.36705791718206,4.818230236962,2.57309519427918,7404.4855,74044854.9454,"ON",0,0,0,0.547691095542213,430.006535716603,281.960105744856,4.61146130698947,1.12200759446231,7.08856977924777,12.41,5128.3438,12.31,5128.3438
"47",28,"COC23_1995_1273",1995,287.10178583961,84.6470634172935,5.11142908347197,2.43153117205779,8.66656207879226,5.00530848001525,0.7781,7780.8639,"ON",1,14,1,0.30111160575293,58.7240791320801,40.0458335876465,0.551408371273656,8.01735781991131,-7.43189531180348,10.77,5918.3055,11.03,5918.3055
"48",41,"COC23_1995_1273",1995,287.10178583961,84.6470634172935,5.11142908347197,2.43153117205779,8.66656207879226,5.00530848001525,1763.7178,17637177.5281,"ON",0,0,0,1.1496602106699,457.999531282285,65.9713503197818,2.04431530969783,11.3209409422787,-10.9584080659053,10.83,5871.875,11.1,5871.875
"49",29,"RED25_2010_1756",2010,299.686740137317,82.7164552806254,2.77135971298531,1.89313160545991,4.59214806836662,2.14324242956474,6.7897,67897.2032,"ON",1,14,1,1.14812279438636,250.619590759277,45.0057601301883,7.262498781839,5.58872684039784,14.2690822729554,12.24,6427.0364,12.72,6427.0364
"50",64,"RED25_2010_1756",2010,299.686740137317,82.7164552806254,2.77135971298531,1.89313160545991,4.59214806836662,2.14324242956474,3.7185,37184.5884,"ON",0,0,0,1.16081224940964,224.394020080566,46.9583509883874,5.49653439653869,3.02142175851871,15.6090056856109,12.24,6427.0364,12.72,6427.0364
